op_index,op_type,input_shape,weight_shape,output_shape,input_scale,input_zp,weight_scale,weight_zp,output_scale,output_zp,param_count,macs,injection_candidate
0,PAD,"[1, 176, 176, 3]",,"[1, 178, 178, 3]",0.007874015718698502,0,,,0.007874015718698502,0,,,False
1,CONV_2D,"[1, 178, 178, 3]","[16, 3, 3, 3]","[1, 88, 88, 16]",0.007874015718698502,0,0.013604349456727505,0,0.02296213060617447,-128,432,3345408,True
2,PAD,"[1, 88, 88, 16]",,"[1, 90, 90, 16]",0.02296213060617447,-128,,,0.02296213060617447,-128,,,False
3,DEPTHWISE_CONV_2D,"[1, 90, 90, 16]","[1, 3, 3, 16]","[1, 88, 88, 16]",0.02296213060617447,-128,0.051075633615255356,0,0.02279956452548504,-128,144,1115136,True
4,PAD,"[1, 88, 88, 16]",,"[1, 88, 88, 16]",0.02279956452548504,-128,,,0.02279956452548504,-128,,,False
5,CONV_2D,"[1, 88, 88, 16]","[8, 1, 1, 16]","[1, 88, 88, 8]",0.02279956452548504,-128,0.021374331787228584,0,0.13489419221878052,0,128,991232,True
6,PAD,"[1, 88, 88, 8]",,"[1, 88, 88, 8]",0.13489419221878052,0,,,0.13489419221878052,0,,,False
7,CONV_2D,"[1, 88, 88, 8]","[24, 1, 1, 8]","[1, 88, 88, 24]",0.13489419221878052,0,0.004010153003036976,0,0.02311859093606472,-128,192,1486848,True
8,PAD,"[1, 88, 88, 24]",,"[1, 94, 94, 24]",0.02311859093606472,-128,,,0.02311859093606472,-128,,,False
9,DEPTHWISE_CONV_2D,"[1, 94, 94, 24]","[1, 7, 7, 24]","[1, 44, 44, 24]",0.02311859093606472,-128,0.003288526087999344,0,0.022238636389374733,-128,1176,2276736,True
10,PAD,"[1, 44, 44, 24]",,"[1, 44, 44, 24]",0.022238636389374733,-128,,,0.022238636389374733,-128,,,False
11,CONV_2D,"[1, 44, 44, 24]","[16, 1, 1, 24]","[1, 44, 44, 16]",0.022238636389374733,-128,0.01948404312133789,0,0.07173234224319458,0,384,743424,True
12,PAD,"[1, 44, 44, 16]",,"[1, 44, 44, 16]",0.07173234224319458,0,,,0.07173234224319458,0,,,False
13,CONV_2D,"[1, 44, 44, 16]","[80, 1, 1, 16]","[1, 44, 44, 80]",0.07173234224319458,0,0.0029185281600803137,0,0.023098120465874672,-128,1280,2478080,True
